Age,Gender,District,Occupation,Usage Frequency,Main Purpose,Language Used,User Rating,Education Level,Actions Taken,Device Used,Time Spent Hours
25,1,0,10,3.0,3,1,5,2.0,1,3,0.5
28,1,8,4,3.0,4,1,5,3.0,1,1,3.5
48,0,0,3,3.0,1,2,5,0.0,1,3,0.5
54,1,0,1,3.0,0,2,5,0.0,1,3,0.5
27,0,12,6,3.0,4,0,5,2.0,1,3,0.5
27,0,8,4,3.0,1,1,4,2.0,1,1,3.5
30,1,3,6,2.0,3,0,4,2.0,0,3,0.5
27,1,4,4,3.0,0,1,5,2.0,1,1,3.5
27,0,11,4,2.0,1,1,4,2.0,1,3,0.5
22,0,12,10,3.0,3,0,4,2.0,1,3,1.5
27,0,12,10,2.0,3,1,4,3.0,1,3,0.5
32,1,3,10,1.0,3,2,4,2.0,1,3,0.5
28,0,9,3,0.0,3,1,5,3.0,0,3,0.5
30,1,3,9,0.0,5,0,2,2.0,0,3,0.5
27,1,11,8,0.0,2,0,4,2.0,1,3,0.5
28,0,12,5,2.0,6,1,4,3.0,1,3,0.5
27,1,12,4,3.0,0,0,5,2.0,0,1,0.5
26,0,9,12,0.0,2,0,2,3.0,1,3,0.5
27,1,9,7,1.0,0,1,4,2.0,1,3,0.5
26,1,8,6,1.0,1,1,5,2.0,1,3,0.5
34,1,17,6,1.0,0,1,5,2.0,1,3,0.5
17,0,3,10,2.0,3,1,4,0.0,0,3,0.5
18,1,17,0,1.0,3,1,3,1.0,1,3,0.5
28,0,8,2,0.0,5,1,5,2.0,0,3,0.5
28,0,12,3,0.0,3,1,2,2.0,0,3,0.5
28,1,12,4,3.0,1,3,5,3.0,1,3,3.5
28,0,15,6,1.0,2,1,3,3.0,0,3,0.5
35,0,12,11,3.0,3,1,5,0.0,0,3,0.5
46,0,9,11,3.0,3,1,5,0.0,1,3,0.5
42,0,11,11,3.0,2,1,5,0.0,1,3,1.5
34,0,5,11,3.0,3,0,5,0.0,1,3,1.5
26,0,9,11,2.0,3,1,5,3.0,0,3,0.5
39,0,10,11,3.0,3,0,4,0.0,1,3,0.5
39,0,12,11,3.0,3,1,5,3.0,1,3,1.5
43,0,9,11,2.0,3,1,5,2.0,1,3,0.5
27,0,9,10,3.0,3,1,4,3.0,1,3,1.5
59,0,8,11,0.0,5,1,2,0.0,1,3,0.5
37,0,12,11,3.0,3,1,1,3.0,1,3,2.0
26,0,12,11,3.0,3,1,5,0.0,0,3,0.5
28,0,9,11,2.0,3,1,5,3.0,1,3,0.5
28,0,14,6,3.0,3,0,5,3.0,1,2,1.5
41,1,2,4,3.0,1,1,5,2.0,1,1,0.5
48,1,1,2,3.0,1,1,5,3.0,0,1,2.0
23,1,13,4,3.0,1,1,3,2.0,1,1,0.5
34,0,7,4,2.0,0,1,3,2.0,1,1,0.5
22,0,2,4,3.0,1,0,5,2.0,1,1,3.5
39,0,9,11,3.0,2,1,4,3.0,0,3,0.5
27,0,6,3,3.0,1,1,5,2.0,1,3,1.5
34,0,12,11,3.0,2,1,5,3.0,1,3,3.5
26,1,8,6,2.0,0,0,4,2.0,0,3,0.5
28,1,2,11,3.0,3,1,5,3.0,1,3,1.5
20,1,14,10,3.0,1,1,4,1.0,1,4,0.5
19,0,17,10,0.0,3,0,5,1.0,1,3,0.5
34,1,12,4,3.0,1,1,4,2.0,1,1,3.5
45,0,18,11,1.0,5,2,5,0.0,1,3,1.5
38,0,12,11,2.0,5,0,5,3.0,1,3,0.5
42,0,12,11,3.0,2,1,5,3.0,1,3,2.0
30,0,16,11,3.0,3,0,4,0.0,1,3,1.5
30,0,12,11,3.0,3,1,4,0.0,1,3,0.5
40,0,9,11,2.0,2,1,5,3.0,1,0,2.0
39,0,12,11,3.0,3,0,4,0.0,1,3,1.5
26,0,12,11,3.0,3,1,5,0.0,0,3,0.5
28,0,9,11,2.0,3,1,5,3.0,1,3,0.5
28,0,14,6,3.0,3,0,5,3.0,1,2,1.5
41,1,2,4,3.0,1,1,5,2.0,1,1,0.5
48,1,1,2,3.0,1,1,5,3.0,0,1,2.0
23,1,13,4,3.0,1,1,3,2.0,1,1,0.5
34,0,7,4,2.0,0,1,3,2.0,1,1,0.5
22,0,2,4,3.0,1,0,5,2.0,1,1,3.5
39,0,9,11,3.0,2,1,4,3.0,0,3,0.5
27,0,6,3,3.0,1,1,5,2.0,1,3,1.5
34,0,12,11,3.0,2,1,5,3.0,1,3,3.5
26,1,8,6,2.0,0,0,4,2.0,0,3,0.5
28,1,2,11,3.0,3,1,5,3.0,1,3,1.5
20,1,14,10,3.0,1,1,4,1.0,1,4,0.5
19,0,17,10,0.0,3,0,5,1.0,1,3,0.5
34,1,12,4,3.0,1,1,4,2.0,1,1,3.5
45,0,18,11,1.0,5,2,5,0.0,1,3,1.5
38,0,12,11,2.0,5,0,5,3.0,1,3,0.5
42,0,12,11,3.0,2,1,5,3.0,1,3,2.0
30,0,16,11,3.0,3,0,4,0.0,1,3,1.5
30,0,12,11,3.0,3,1,4,0.0,1,3,0.5
